original_background,original_question,rewritten_background,rewritten_question
The prevalence of a trait is 76.8%.,"In a simple random sample of $n=5$, how many individuals are expected to exhibit this characteristic?","In our group, the prevalence of this trait is 76.8%.","If we randomly select 5 individuals ($n=5$), about how many should we expect to show this trait on average?"
"A 1970s case-control study on cerebrovascular disease (stroke) and oral contraceptive use in young women matched cases to controls according to neighborhood, age, sex, and race. Table 18.26 displays data from this study for thrombotic stroke.","Calculate the odds ratio for these data. Briefly, interpret this results in narrative form.","A 1970s case-control study on cerebrovascular disease (stroke) and oral contraceptive use in young women matched cases to controls according to neighborhood, age, sex, and race. For each woman who had a stroke, we matched her with a woman without a stroke from the same neighborhood and with the same age, sex, and race. Table 18.26 displays data from this study for thrombotic stroke.","Using the numbers in Table 18.26, please compute a single ratio that summarizes how strongly oral contraceptive use is associated with thrombotic stroke in our study (i.e., how the odds compare between users and non-users). Then provide a brief, plain-language interpretation of what that number means for our sample."
"Figure 5.7 depicts the probability density function for the random number spinner for values between 0.0 and 1.0. This is the uniform probability density function for the range 0 to 1, denoted $X \sim$ Uniform $(0,1)$. Use geometry to determine the following probabilities on this pdf.",$\operatorname{Pr}(X \leq 0.8)$,"We’re analyzing a random number spinner that generates values between 0.0 and 1.0. In Figure 5.7, our plot of chance versus value is a flat line across 0 to 1, meaning every value in this range is equally likely. We’d like to use simple geometry—treating chances as areas under this flat curve—to answer some questions.","Using Figure 5.7 and the area-under-the-curve idea, what is the chance that the spinner lands at or below 0.8?"
We have established a test of $H_0: \mu=170$ versus $H_{\mathrm{a}}: \mu>170$ in a population with $\sigma=40$ pounds. A simple random sample of $n=64$ is associated with $S E_{\bar{x}}=\frac{40}{\sqrt{64}}=5$.,Sample 2. What is the $z$-statistic in a sample with $\bar{x}=185$?,We are checking whether the population mean exceeds 170 using a normal model with a known spread. We are using a population variability of 40 pounds (\(\sigma=40\)). A simple random sample of \(n=64\) is associated with \(SE_{\bar{x}}=\frac{40}{\sqrt{64}}=5\).,"Sample 2. What is the standardized value for a sample with \(\bar{x}=185\), using \(\frac{\bar{x}-170}{SE_{\bar{x}}}\)?"
"For each of the following comparisons, plot the data as back-to-back stemplots on a common stem. Then, compare group locations and spreads.","(c) Comparison C: Group 1: 90, 70, 50, 30; Group 2: 90, 80, 70, 60","For each of the following comparisons, we plot the data as back-to-back stemplots on a common stem. Then, we compare group locations and spreads.","(c) Comparison C: We ask you to plot the data as back-to-back stemplots on a common stem (same scale for both sides). Then, compare group locations and spreads (which group sits higher and which varies more). Group 1: 90, 70, 50, 30; Group 2: 90, 80, 70, 60"
We select an SRS of n=712 from a population of 20-29-year-old men and calculate x̄=183 pounds. The population standard deviation (σ) is 40.,We propose to calculate 90% confidence intervals for μ based on this information.,"We randomly selected 712 men aged 20–29 from our population and recorded their weights. The average weight in our sample is 183 pounds. From prior records for this age group, the typical spread in individual weights is 40 pounds.",We propose to calculate 90% confidence intervals for μ based on this information.
The problem involves calculating the mean and variance of a probability mass function (pmf) for four patients as presented in Table 5.1.,"What are the mean and variance of the four patients illustrative pmf, as presented in Table 5.1?",We have data for four patients summarized in Table 5.1. The table lists each possible outcome for these patients and how likely each outcome is. We'd like a simple summary of the average outcome and how much the outcomes vary.,"Using Table 5.1, can you tell us the average outcome and the overall spread for our four patients?"
A researcher conducts a survey to learn about the sexual behavior of college students on a particular campus. A list of the undergraduates at the university is used to select participants. The investigator sends out 500 surveys but only 136 are returned.,Consider how the low response rate could bias the results of this study.,We’re running a survey to learn about the sexual behavior of college students on our campus. We used the university’s list of undergraduates to select participants and sent out 500 surveys. Only 136 were returned.,"We’re concerned that the low number of returned surveys could skew what we learn. In what ways might the people who responded differ from those who didn’t, and how could that tilt our results or lead us to the wrong conclusions about students on this campus?"
Exercise 14.1 introduced data for a cross-sectional survey of bicycle helmet use in Northern California. Table 14.5 lists the data. Exercise 14.1(a) revealed that observation 13 (Los Arboles) was an outlier.,Use the $95 \%$ confidence interval to predict whether the slope is significant at $\alpha=0.05$.,"We conducted a cross-sectional survey of bicycle helmet use in Northern California, and the data are listed in Table 14.5. In our earlier look at the data (Exercise 14.1(a)), we noticed that observation 13 (Los Arboles) stands out as unusual.","Using our 95% uncertainty range for the overall trend between helmet use and the explanatory measure we recorded, can we tell whether there is a real relationship at the usual 0.05 level? In practical terms, does that 95% range rule out “no change” (i.e., a zero effect)?"
Data from a historically important study by Sir Richard Doll published in 1955 are used to illustrate techniques in this chapter. This study looked at lung cancer mortality rates by region (response variable) according to per capita cigarette consumption (explanatory variable). Table 14.2 lists the data.,Inspect the relationship between cigarette consumption $(X)$ and lung cancer mortality $(Y)$ with numerical summaries.,We are reviewing data from a historically important study by Sir Richard Doll published in 1955. It looks at lung cancer mortality rates by region alongside per capita cigarette consumption. We have the data compiled as in Table 14.2.,We’d like your help to look at how cigarette consumption (X) relates to lung cancer mortality (Y) across regions. Please summarize this relationship using clear numerical summaries so we can see the basic patterns in the data.
"A case-control study was completed to learn about the relationship between male-pattern baldness and the risk of cardiovascular disease. Cases were men less than 55 years of age hospitalized for a heart attack. Cases were excluded if they had a prior history of serious heart problems. Controls were men with no history of heart disease admitted to the same hospitals for nonfatal, noncardiac problems. Table 18.21 cross tabulates results according to self-assessed baldness, with baldness graded on a scale of 1 (no baldness) to 5 (extreme baldness).","Conduct a chi-square test of association. Report the chi-square statistic, its df, and P-value.","A case-control study was completed to learn about the relationship between male-pattern baldness and the risk of cardiovascular disease. Cases were men less than 55 years of age hospitalized for a heart attack. Cases were excluded if they had a prior history of serious heart problems. Controls were men with no history of heart disease admitted to the same hospitals for nonfatal, noncardiac problems. Table 18.21 cross tabulates results according to self-assessed baldness, with baldness graded on a scale of 1 (no baldness) to 5 (extreme baldness).","Using the counts in Table 18.21, please test whether baldness level is related to being a case or a control, and report the test statistic, degrees of freedom, and p-value."
